"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"Idaho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.467,0,8.35,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,8.05,0,0,10.017,0,0,9.333
"Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.767,5.133,0,5.783,0,0,0,0,0,0,0,4.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.367,0
"Indiana",0,0,0,0,0,0,0,0,0,0,0,0,0,2.767,0,0,0,3.233,0,0,0,0,5.433,0,0,0,0,0,0,0,0,0,0,0,0,3.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,5.133,0,0,0,0,0,0,0,0,0,5.15,0,5.25,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,5.183,0
"Kansas",0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,4.533,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kentucky",0,0,0,0,0,0,0,0,0,0,0,0,0,5.783,3.233,0,0,0,0,0,0,0,0,0,0,7.367,0,0,0,0,0,0,0,0,0,4.683,0,0,0,0,0,0,3.283,0,0,0,7.733,0,5.183,0,0
"Louisiana",0,0,0,5.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,0,0,0,0
"Maine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maryland",0,0,0,0,0,0,0,1.75,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667,0,0,0,0,0,0,0,3.65,0,5.283,0,0
"Massachusetts",0,0,0,0,0,0,1.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,0,0,3.85,0,0,0,0,0,0,0.983,0,0,0,0,0,0,0,0,0,0,0
"Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.833,0,0,0,0,0,0,0,0,0,0,0,0,0,8.317,0
"Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,6.683,0,0,0,0,0,0,0,4.933,0
